title;price;url_listing;posting_date;kelurahan;kabupaten_kota
SEPATU ANAK / SEPATU NEW BALANCE PUMA ADIDAS ANAK;150000;https://olx.co.id/item/sepatu-anak-sepatu-new-balance-puma-adidas-anak-iid-925401951;2024-08-29 00:00:00;Bojongsoang;Bandung Kab.
sepatu puma trinomic;100000;https://olx.co.id/item/sepatu-puma-trinomic-iid-923627841;2024-08-29 00:00:00;Pamulang;Tangerang Selatan Kota
Puma RS-X³ PUZZLE;500000;https://olx.co.id/item/puma-rs-x-puzzle-iid-925398711;2024-08-29 00:00:00;Klojen;Malang Kota
Puma Thunder Original Size 43;600000;https://olx.co.id/item/puma-thunder-original-size-43-iid-925398226;2024-08-29 00:00:00;Ilir Barat II;Palembang Kota
Sepatu puma Fast-Trac NITRO Men's Trail Running Shoes;1100000;https://olx.co.id/item/sepatu-puma-fast-trac-nitro-mens-trail-running-shoes-iid-922637895;2024-08-29 00:00:00;Kartasura;Sukoharjo Kab.
Puma thunder spectra;600000;https://olx.co.id/item/puma-thunder-spectra-iid-925388777;2024-08-29 00:00:00;Bukit Kecil;Palembang Kota
Sepatu Puma Eco Ortholite;250000;https://olx.co.id/item/sepatu-puma-eco-ortholite-iid-925388712;2024-08-29 00:00:00;Cakung;Jakarta Timur
Puma Amare Softfoam;500000;https://olx.co.id/item/puma-amare-softfoam-iid-925385270;2024-08-29 00:00:00;Matraman;Jakarta Timur
Puma x The Murfs sz 43 Original;550000;https://olx.co.id/item/puma-x-the-murfs-sz-43-original-iid-925381288;2024-08-29 00:00:00;Pancoran;Jakarta Selatan
Sepatu PUMA warna putih plat hitam kulit asli No.42;230000;https://olx.co.id/item/sepatu-puma-warna-putih-plat-hitam-kulit-asli-no42-iid-908664950;2024-08-29 00:00:00;Bogor Tengah - Kota;Bogor Kota
sepatu puma suede;350000;https://olx.co.id/item/sepatu-puma-suede-iid-925377463;2024-08-29 00:00:00;Karangmojo;Gunung Kidul Kab.
Sepatu ori Puma Basket;400000;https://olx.co.id/item/sepatu-ori-puma-basket-iid-925374940;2024-08-29 00:00:00;Antapani (Cicadas);Bandung Kota
Puma Flyer Runner Femme Women's Black Lotus Size 38 New Ori Murah Nego;399000;https://olx.co.id/item/puma-flyer-runner-femme-womens-black-lotus-size-38-new-ori-murah-nego-iid-910727837;2024-08-29 00:00:00;Prambanan;Sleman Kab.
Puma Ralph Samson MID;575000;https://olx.co.id/item/puma-ralph-samson-mid-iid-923700994;2024-08-28 00:00:00;Bumi Serpong Damai;Tangerang Selatan Kota
Sepatu puma RED Ferrari like new murah;650000;https://olx.co.id/item/sepatu-puma-red-ferrari-like-new-murah-iid-924001312;2024-08-28 00:00:00;Tambora;Jakarta Barat
Sepatu Puma Suede size 42 kondisi 90% - Nego;200000;https://olx.co.id/item/sepatu-puma-suede-size-42-kondisi-90-nego-iid-925357779;2024-08-28 00:00:00;Bojongsoang;Bandung Kab.
Sepatu lari/running Puma Profoam size 42,5 Kondisi 95% - Nego;450000;https://olx.co.id/item/sepatu-larirunning-puma-profoam-size-425-kondisi-95-nego-iid-925357621;2024-08-28 00:00:00;Bojongsoang;Bandung Kab.
Sepatu puma suede size 39;160000;https://olx.co.id/item/sepatu-puma-suede-size-39-iid-925349676;2024-08-28 00:00:00;Makasar;Jakarta Timur
Puma colabs Ralph Sampson Original size 43;450000;https://olx.co.id/item/puma-colabs-ralph-sampson-original-size-43-iid-922120597;2024-08-28 00:00:00;Kelapa Gading;Jakarta Utara
Sepatu Puma ori;250000;https://olx.co.id/item/sepatu-puma-ori-iid-921302278;2024-08-28 00:00:00;Purwakarta;Purwakarta Kab.
Puma high breaker black sz43/28;450000;https://olx.co.id/item/puma-high-breaker-black-sz4328-iid-925340604;2024-08-28 00:00:00;Pamulang;Tangerang Selatan Kota
Sepatu Puma Blue Navy;295000;https://olx.co.id/item/sepatu-puma-blue-navy-iid-912645299;2024-08-28 00:00:00;Duren Sawit;Jakarta Timur
Puma Suede Red Size 42.5;680000;https://olx.co.id/item/puma-suede-red-size-425-iid-912739707;2024-08-27 00:00:00;Jagakarsa;Jakarta Selatan
Sepatu bekas SportLifeStyle PUMA FERRARI Original;498000;https://olx.co.id/item/sepatu-bekas-sportlifestyle-puma-ferrari-original-iid-900004351;2024-08-27 00:00:00;Penjaringan;Jakarta Utara
Sepatu Bola Puma Ultra;450000;https://olx.co.id/item/sepatu-bola-puma-ultra-iid-916391762;2024-08-27 00:00:00;Kemayoran;Jakarta Pusat
Sepatu Second Original / Puma Cabana Racer II;300000;https://olx.co.id/item/sepatu-second-original-puma-cabana-racer-ii-iid-924030653;2024-08-27 00:00:00;Depok Kota;Jawa Barat
Sepatu casual puma ferrari original resmi;599000;https://olx.co.id/item/sepatu-casual-puma-ferrari-original-resmi-iid-922101171;2024-08-27 00:00:00;Bekasi Barat;Bekasi Kota
Puma future street original;550000;https://olx.co.id/item/puma-future-street-original-iid-922101404;2024-08-27 00:00:00;Duren Sawit;Jakarta Timur
Sepatu Puma Ferrari Kart Cat III Roso Corsa;720000;https://olx.co.id/item/sepatu-puma-ferrari-kart-cat-iii-roso-corsa-iid-872959769;2024-08-27 00:00:00;Balongbendo;Sidoarjo  Kab.
Sepatu bola mini soccer PUMA ULTRA MATCH BLACK size 41;700000;https://olx.co.id/item/sepatu-bola-mini-soccer-puma-ultra-match-black-size-41-iid-913122614;2024-08-27 00:00:00;Larangan;Tangerang Kota
Sepatu Puma dan Under Armour;450000;https://olx.co.id/item/sepatu-puma-dan-under-armour-iid-910744397;2024-08-27 00:00:00;Duren Sawit;Jakarta Timur
Puma Casual High;280000;https://olx.co.id/item/puma-casual-high-iid-925321183;2024-08-27 00:00:00;Tebet;Jakarta Selatan
Puma kets Shoes size 43;800000;https://olx.co.id/item/puma-kets-shoes-size-43-iid-910680766;2024-08-27 00:00:00;Waru;Sidoarjo  Kab.
PUMA sepatu SultanbInternasional  Prelove  Branded  Size 40/25 .5Cm/;265000;https://olx.co.id/item/puma-sepatu-sultanbinternasional-prelove-branded-size-4025-5cm-iid-925318740;2024-08-27 00:00:00;Rawalumbu;Bekasi Kota
Sepatu sandal anak, PUMA Aquacat (biru kuning) size 19;135000;https://olx.co.id/item/sepatu-sandal-anak-puma-aquacat-biru-kuning-size-19-iid-914431266;2024-08-27 00:00:00;Limo;Depok Kota
PUMA ORIGINAL SEPATU ANAK CEWEK ORIGINAL PUMA;200000;https://olx.co.id/item/puma-original-sepatu-anak-cewek-original-puma-iid-925316784;2024-08-27 00:00:00;Rancaekek;Bandung Kab.
puma platform trace peacout suede;250000;https://olx.co.id/item/puma-platform-trace-peacout-suede-iid-925316373;2024-08-27 00:00:00;Sumur Bandung;Bandung Kota
Sepatu Puma Suede secondbrand;290000;https://olx.co.id/item/sepatu-puma-suede-secondbrand-iid-925316153;2024-08-27 00:00:00;Coblong;Bandung Kota
PUMA ULTRA MATCH IT - SIZE 40 EUR (SEPATU FUTSAL);440000;https://olx.co.id/item/puma-ultra-match-it-size-40-eur-sepatu-futsal-iid-925313356;2024-08-27 00:00:00;Bojongloa Kidul;Bandung Kota
Puma x xlarge size 42/270;170000;https://olx.co.id/item/puma-x-xlarge-size-42270-iid-925312303;2024-08-27 00:00:00;Sukajadi;Bandung Kota
Sepatu Puma Jogging Sneackers;325000;https://olx.co.id/item/sepatu-puma-jogging-sneackers-iid-925311908;2024-08-27 00:00:00;Kejaksan;Cirebon Kota
Sepatu running puma;500000;https://olx.co.id/item/sepatu-running-puma-iid-904688501;2024-08-27 00:00:00;Lengkong;Bandung Kota
Puma Running Shoes Wanita Sepatu Lari Original Murah;750000;https://olx.co.id/item/puma-running-shoes-wanita-sepatu-lari-original-murah-iid-925306032;2024-08-27 00:00:00;Bandung Kulon;Bandung Kota
puma collab sankuanz;350000;https://olx.co.id/item/puma-collab-sankuanz-iid-925304315;2024-08-27 00:00:00;Sumur Bandung;Bandung Kota
